Product ID;Categories;Name *;Price tax excluded;Price tax included;Image URLs (x,y,z...);Description;Feature(Name:Value:Position)
GW3848;Mężczyźni, Buty;Galaxy 6 Shoes;202.44;249;null;"Załóż je i ruszaj. Te buty do biegania adidas zapewnią Ci komfort niezależnie od tego, jak długi okaże się Twój dzień. Doskonałe buty do noszenia na co dzień mają lekką i przewiewną cholewkę z siateczki, która gwarantuje stopom chłodny komfort, oraz sprężystą podeszwę środkową Cloudfoam. Gumowa podeszwa zewnętrzna została zaprojektowana tak, aby dawać stabilność na wszystkich nawierzchniach, od mokrej trawy po glinę. Zmieniaj swoje plany bez konieczności zmieniania butów. 

Cholewka uszyta z serii materiałów pochodzących z recyklingu zawiera co najmniej 50% materiałów z odzysku. Ten produkt jest tylko jednym z naszych rozwiązań, które pomogą położyć kres plastikowym odpadom.";Kolor:Core Black / Cloud White / Core Black:0
FY6718;Mężczyźni, Buty;Galaxy 5 Shoes;202.44;249;null;Maksymalnie wykorzystaj czas biegów. Nieważne, jaki dystans pokonasz, te buty adidas amortyzują każde wybicie i lądowanie, dzięki czemu każdy krok jest pewny. Kolejny start z bloków. Kolejne okrążenie. Kolejny kilometr. Ruszaj na jej spotkanie.;Kolor:Core Black / Core Black / Core Black:0
IF2393;Mężczyźni, Buty;Buty Pureboost 23;527.64;649;null;"Im więcej energii wkładasz w bieg, tym więcej do Ciebie wraca. Stworzone z myślą o codziennym bieganiu buty adidas Pureboost 23 mają piankę BOOST na całej długości, która zwraca energię, oraz strategicznie rozmieszczone wycięcia wzdłuż gumowej podeszwy zewnętrznej, które pozwalają na kompresję i swobodne rozszerzanie się stopy w ruchu. Lekka cholewka z siateczki o specjalnej konstrukcji gwarantuje przewiewność, gdy temperatura rośnie, i zapewnia wsparcie tam, gdzie jest ono potrzebne, dzięki czemu możesz komfortowo biegać.

Cholewka uszyta z serii materiałów pochodzących z recyklingu zawiera co najmniej 50% materiałów z odzysku. Ten produkt jest tylko jednym z naszych rozwiązań, które pomogą położyć kres plastikowym odpadom.";Kolor:Cloud White / Grey Two / Core Black:0
EG2656;Mężczyźni, Buty;Strutter Shoes;243.09;299;null;Wybierz buty, które prezentują masywny design sprzed lat i zapewniają Ci całodzienny komfort. Gładka skórzana cholewka została wykończona wycinanymi detalami, nakładkami i charakterystycznymi 3 paskami. Osadzona jest na wysokiej, profilowanej podeszwie środkowej i przyczepnej podeszwie zewnętrznej.;Kolor:Core Black / Core Black / Grey Six:0
IF7316;Mężczyźni, Buty;Kaptir 3.0 Shoes;348.78;429;null;"Zwyczajność nie leży w Twojej naturze. Zdefiniuj swój styl dzięki odwadze i oryginalności tych butów adidas. Gładka sylwetka ma futurystyczny look i zapewnia komfort, który pasuje do Twoich codziennych ruchów. Podeszwa środkowa Cloudfoam oferuje wyjątkowo miękką amortyzację, dzięki której czujesz się lekko i wyglądasz świeżo. Duża grafika sprawia, że te buty są niezaprzeczalnie stylowe.

Cholewka uszyta z serii materiałów pochodzących z recyklingu zawiera co najmniej 50% materiałów z odzysku. Ten produkt jest tylko jednym z naszych rozwiązań, które pomagają położyć kres plastikowym odpadom.";Kolor:Core Black / Core Black / Core Black:0
HP6522;Mężczyźni, Buty;adilette 22 Slides;243.09;299;null;"Projektując te klapki adidas, sięgnęliśmy do map topograficznych ilustrujących ekspedycje na Marsa i zwymiarowanie nowej planety. Ale futurystyczny styl na tym się nie kończy. Buty są wykonane częściowo z trzciny cukrowej, co stanowi krok w kierunku bardziej zrównoważonej przyszłości. Noś je na zróżnicowanym terenie ― od mokrego po suchy.

Ten produkt został stworzony z naturalnych i pozyskanych z odnawialnych źródeł materiałów w ramach naszej walki z plastikowymi odpadami.";Kolor:Grey Five / Grey Five / Core Black:0
IG8264;Mężczyźni, Buty;Klapki Adilette 22;243.09;299;null;"A gdyby adidas Adilette nie powstały w 1972 roku dla niemieckiej drużyny piłkarskiej, ale jako oficjalne sandały na pierwsze w historii ludzkie kolonie na Marsie? Ta odświeżona wersja kultowych klapków przybliża nas do tej odpowiedzi. Klapki o futurystycznym designie inspirowanym topografią 3D powstały, aby poruszać się razem z Tobą – niezależnie od tego, którą planetę nazywasz domem.

Ten produkt został stworzony z naturalnych i pozyskanych z odnawialnych źródeł materiałów w ramach naszej walki z plastikowymi odpadami.";Kolor:Silver Green / Silver Green / Core Black:0
F35580;Mężczyźni, Buty;Klapki Adissage;113.01;139;null;"Klapki adidas Adissage mają giętką wkładkę z wypustkami masującą ciężko pracujące stopy i regulowany górny pasek, który można odpowiednio dopasować.

Te klapki zostały zaprojektowane z myślą o regeneracji po treningu, a nie do noszenia przez cały dzień.  Jeśli szukasz komfortu po treningu, wybierz klapki Adissage TND z masującymi wypustkami.";Kolor:Core Black / Cloud White / Core Black:0
GW6421;Mężczyźni, Buty;Hoops 3.0 Mid Lifestyle Basketball Classic Fur Lining Winterized Shoes;283.74;349;null;"Gdy robi się zimno, te buty adidas w koszykarskim stylu będą pasować do każdego stroju: od ciemnego dżinsu po grube spodnie dresowe. Średniowysoki design otula kostkę, a tekstylna wyściółka z futra dba o komfort stóp. Całość uzupełniają mocne, okrągłe sznurowadła i solidna, gumowa podeszwa.

Model wykonany częściowo z materiałów pochodzących z recyklingu odzyskanych w trakcie procesu produkcyjnego, np. ścinków materiałów i odpadów z gospodarstw domowych, w celu uniknięcia znacznie większego wpływu na środowisko naturalne, jaki wywiera produkcja surowców.";Kolor:Core Black / Carbon / Cloud White:0
GV6683;Mężczyźni, Buty;Hoops 3 Mid Lifestyle Basketball Mid Classic Shoes;267.48;329;null;Design inspirowany koszykówką. Model stworzony do noszenia na co dzień. Te sneakery adidas w koszykarskim stylu mają gładką cholewkę ze sztucznej skóry z wygodną wyściółką osadzoną na klasycznej, gumowej podeszwie. Nawet przy ich stonowanej kolorystyce nie da się nie zauważyć kultowych 3 pasków.;Kolor:Core Black / Core Black / Grey Six:0
EE9709;Mężczyźni, Buty;Fusion Winter Boots;267.48;329;null;Komfortowy design na zimne dni i styl koszykarski łączą się w jednym modelu. Te inspirowane sneakerami buty zapewniają wygodę stopom przy pomocy ciepłej wyściółki, a jednocześnie podkręcają Twój miejski look za sprawą klasycznych akcentów koszykarskich. Cholewka z syntetycznej skóry ma gumowane detale, a osadzona jest na solidnej, gumowej podeszwie zewnętrznej, gwarantującej przyczepność.;Kolor:Core Black / Core Black / Grey Six:0
